Reference Number,Origin City ,Origin State,Origin Zip,Origin Country,Destination City,Destination State,Destination Zip,Destination Country,Pickup Date,Freight Class,Weight,Hazardous,Scac
MER2990228,Thousand Oaks,CA,91320,USA,Bensenville,IL,60106,USA,9/1/2011,150,427,FALSE,
MG2992664,Garden Grove,CA,92841,USA,Bloomingdale,IL,60108,USA,9/1/2011,70,549,FALSE,
HAR2992109,UPLAND,CA,91786,USA,Greenwood,DE,19950,USA,9/1/2011,60,250,FALSE,
MCL2992404,Costa Mesa,CA,92627,USA,White House,TN,37188,USA,9/1/2011,250,124,FALSE,
SAC2992615,Camarillo,CA,93012,USA,Grapevine,TX,76051,USA,9/1/2011,125,698,FALSE,
SFW2889147,Valencia,CA,91355,USA,MASPETH,NY,11378,USA,9/1/2011,85,1484,FALSE,
DEN2995100,Riverside,CA,92503,USA,Haslet,TX,76052,USA,9/1/2011,55,500,FALSE,
KAS2992043,South El Monte,CA,91733,USA,SAN ANTONIO,TX,78261,USA,9/1/2011,60,247,FALSE,
NSH2985296,WHITTIER,CA,90601,USA,SMYRNA,GA,30082,USA,9/1/2011,0,1171,FALSE,
MER2986921,Pico rivera,CA,90660,USA,NORCROSS,GA,30093,USA,9/1/2011,175,800,FALSE,
LAS2987088,Rancho Santa Margarita,CA,92688,USA,Hueytown,AL,35023,USA,9/1/2011,85,2970,FALSE,
SGA2987384,CARSON,CA,90745,USA,WINTERVILLE,NC,28590,USA,9/1/2011,85,320,FALSE,
POR2987723,COMPTON,CA,90220,USA,Lewisville,TX,75057,USA,9/1/2011,70,992,FALSE,
SBC2987895,MOORPARK,CA,93021,USA,CORSICANA,TX,75110,USA,9/1/2011,125,314,FALSE,
SBC2987937,MOORPARK,CA,93021,USA,MEDINA,OH,44256,USA,9/1/2011,150,254,FALSE,
SGA2988405,El Cajon,CA,92020,USA,Newark,NJ,07103,USA,9/1/2011,150,225,FALSE,
SBC2989188,Santa Ana,CA,92705,USA,BURLINGTON,VT,05406,USA,9/1/2011,250,600,FALSE,
KAS2989223,San Bernardino,CA,92408,USA,Lexington,KY,40513,USA,9/1/2011,65,150,FALSE,
LBC2989282,WHITTIER,CA,90601,USA,CHELMSFORD,MA,01824,USA,9/1/2011,70,1100,FALSE,
KAS2989291,Ontario,CA,91761,USA,DAYTON,IN,47941,USA,9/1/2011,150,1100,FALSE,
SBC2989510,Santa Ana,CA,92705,USA,TERRELL,TX,75160,USA,9/1/2011,250,300,FALSE,
LBC2989527,Brea,CA,92821,USA,CARLSTADT,NJ,07072,USA,9/1/2011,92.5,1670,FALSE,
LBC2989538,Long Beach,CA,90813,USA,FORT LAUDERDALE,FL,33316,USA,9/1/2011,60,604,FALSE,
KAS2989544,Vista,CA,92081,USA,Columbus,OH,43219,USA,9/1/2011,92.5,689,FALSE,
KAS2989638,Redlands,CA,92374,USA,WEATHERFORD,TX,76086,USA,9/1/2011,200,295,FALSE,
KAS2989848,Huntington Beach,CA,92647,USA,Queens Village,NY,11427,USA,9/1/2011,200,250,FALSE,
SSI2989852,Commerce,CA,90040,USA,Reedsville,PA,17084,USA,9/1/2011,70,500,FALSE,
SNOQ5392701,Riverside,CA,92507,USA,Suwanee,GA,30024,USA,9/1/2011,150,123,FALSE,
KAS2989884,Industry,CA,91748,USA,SCHUYLER,NE,68661,USA,9/1/2011,70,1262,FALSE,
HOU2990052,Vernon,CA,90058,USA,Houston,TX,77017,USA,9/1/2011,70,1095,FALSE,
PSD2990103,Arcadia,CA,91006,USA,Coralville,IA,52241,USA,9/1/2011,150,200,FALSE,
SAC2990234,Rancho Cucamonga,CA,91730,USA,AUSTIN,TX,78744,USA,9/1/2011,70,304,FALSE,
